key	value
lakeMeadAnimated12	"In accordance with the 1944 U.S.-Mexico Water Treaty, when Lake Mead is not in a Flood Control Condition, water deliveries to Mexico during the calendar year are limited to 1.5 maf, plus or minus any water deferred, Intentionally Created MexicPursuant to the 2007 Interim Guidelines, a Lower Basin Shortage Condition exists when Lake MeadÍs January 1 elevation for the upcoming year is projected to be 1,075 feet or below. A Level 1 Shortage Condition exists when Lake MeadÍs January 1 elevation is projected to be between elevations 1,050 and 1,075 feet. Annual delivery reductions for Nevada and Arizona are 13,000 acre-feet and 320,000 acre-feet, respectively.an Allocation (ICMA) created, or additional water delivered pursuant to Sections III.1 and III.4 of Minute 319."
lakeMeadAnimated13	"Pursuant to the 2007 Interim Guidelines, a Lower Basin Shortage Condition exists when Lake MeadÍs January 1 elevation for the upcoming year is projected to be 1,075 feet or below. A Level 1 Shortage Condition exists when Lake MeadÍs January 1 elevation is projected to be between elevations 1,050 and 1,075 feet. Annual delivery reductions for Nevada and Arizona are 13,000 acre-feet and 320,000 acre-feet, respectively."
lakeMeadAnimated14	"Pursuant to Minute 319, when Lake MeadÍs January 1 elevation is projected to be between elevations 1,050 and 1,075 feet, MexicoÍs annual delivery may be reduced by 50,000 acre-feet. This delivery reduction may be offset by delivery of ICMA or water deferred under Section III.1 for a total annual delivery of 1.5 maf."
lakeMeadAnimated15	"Pursuant to the 2007 Interim Guidelines, a Level 2 Shortage Condition exists when Lake MeadÍs January 1 elevation is projected to be between elevations 1,025 and 1,050 feet. Annual delivery reductions for Nevada and Arizona are 17,000 acre-feet and 400,000 acre-feet, respectively."
lakeMeadAnimated16	"Pursuant to Minute 319, when Lake MeadÍs January 1 elevation is projected to be between elevations 1,025 and 1,050 feet, MexicoÍs annual delivery may be reduced by 70,000 acre-feet. This delivery reduction may be offset by delivery of ICMA or water deferred under Section III.1 for a total annual delivery of 1.5 maf."
lakeMeadAnimated17	"Pursuant to the 2007 Interim Guidelines, a Level 3 Shortage Condition exists when Lake MeadÍs January 1 elevation is projected to be below elevation 1,025 feet. Annual delivery reductions for Nevada and Arizona are 20,000 acre-feet and 480,000 acre-feet, respectively. In addition, if Lake Mead is below elevation 1,025 feet, the Secretary of the Interior shall consult with the seven Colorado River Basin States to consider further measures consistent with applicable Federal law."
lakeMeadAnimated18	"Pursuant to Minute 319, when Lake MeadÍs January 1 elevation is projected to be below elevation 1,025 feet, MexicoÍs annual delivery may be reduced by 125,000 acre-feet. This delivery reduction may be offset by delivery of ICMA or water deferred under Section III.1 for a total annual delivery of 1.5 maf."
lakeMeadAnimated19	"To learn more about Lower Colorado River water entitlement holders and consumptive use data from the Bureau of Reclamation, click button below."
endEra	"An era of hope - communication, cooperation, and collaboration."
credits1	"In the Colorado River Basin, Reclamation is collaborating with its stakeholders on a number of projects, including developing creative strategies to reduce the impacts of drought and increase reservoir storage at Lake Powell and Lake Mead. Activities related to drought response include a system conservation program and drought contingency planning efforts in both basins. Additional ongoing activities are being conducted with stakeholders through the Basin Study Moving Forward process and with Native American Tribes through the Ten Tribes Partnership Tribal Water Study. Lastly, the implementation of Minute 319 and related binational discussions also underscore the importance of the partnership and continued collaboration between the United States and Mexico."
credits2	"In 2014, an $11 million funding agreement for <a href=""http://www.usbr.gov/newsroom/newsrelease/detail.cfm?RecordID=48006"" target=""_blank"">Pilot System Conservation Program (PSCP)</strong></a> was executed among Reclamation, Central Arizona Water Conservation District (CAWCD), the Metropolitan Water District of Southern California (MWD), Denver Water (DW), and the Southern Nevada Water Authority (SNWA) (the Funding Partners). The PSCP establishes a mechanism for funding the creation of Colorado River system water through voluntary water conservation actions and reductions in water use beginning in 2015 and continuing through at least 2016.  The purpose of the PSCP is to explore and learn about the effectiveness of voluntary measures that could be used, when needed, to help maintain water levels in Lake Powell and Lake Mead above critical levels.  All water conserved as a result of the pilot program would be considered Colorado River system water.  Proposals under the PSCP have been received from potential program participants in both the Upper and Lower Basins, where execution of implementation agreements began in 2015 and is ongoing."
credits3	"In Lower Basin drought contingency planning, Reclamation is working with Arizona, California, and Nevada to identify proactive steps to lower the risk of reaching critical elevations at Lake Mead.  A step forward was a Memorandum of Understanding (MOU) for <a href=""http://www.usbr.gov/lc/region/g4000/LB_DroughtResponseMOU.pdf"" target=""_blank"">Pilot Drought Response Actions</strong></a> signed by Reclamation and several water agencies in the Lower Basin States in December 2014. The MOU outlines a commitment by the parties to use best efforts to generate between 1.5 and 3.0 maf of additional water in Lake Mead through 2019.  Reclamation, MWD, SNWA, and CAWCD have agreed to take first steps to generate 0.740 maf of the additional water by the end of 2017. The MOU is an important step forward but a more comprehensive drought plan is currently being discussed with key water agencies in the Lower Basin."
credits4	"In Upper Basin drought contingency planning, Colorado, New Mexico, Utah, and Wyoming are pursuing a plan with three major components: 1) extended operations of the Colorado River Storage Project (CRSP) reservoirs, 2) voluntary demand management (e.g., fallowing or deficit irrigation), and 3) augmentation (primarily weather modification, such as cloud seeding).  Reclamation, in collaboration with the Upper Basin States, has conducted modeling that indicates extended operations of the upper CRSP reservoirs to move water to Lake Powell can significantly reduce the probability of Lake Powell falling below critical elevations.  Reclamation, in consultation with the Upper Basin States, is developing an extended operations plan and implementation agreement.  It is anticipated that these will be completed by the end of 2015."
credits5	"In addition to the previously mentioned activities, Congress has provided authorization for additional funding through Reclamation for drought-related activities to increase Colorado River system water in Lake Mead, Lake Powell, and other Colorado River system reservoirs for the benefit of the system.  This authorization requires that a report evaluating the effectiveness of the water conservation pilot projects be submitted to Congress in 2018, including a recommendation on whether the activities undertaken by the pilot projects should be continued. (Per the Consolidated and Further Continuing Appropriations Act, 2015 (Public Law 113-235, Div. D., Secs. 204-206), executed on December 16, 2014.)"
credits6	"In May 2013, Reclamation and Basin stakeholders initiated the Moving Forward effort to build on future considerations and next steps identified in the Colorado River Basin Study. The Moving Forward effort enhances the broad, inclusive stakeholder process demonstrated in the Basin Study with an ultimate goal of identifying actionable steps to address projected water supply and demand imbalances that have broad-based support and provide a wide range of benefits. The Moving Forward effort is being conducted in a phased approach. Phase 1 began with the formation of a Coordination Team and three multi-stakeholder workgroups that focus on water conservation, reuse and environmental and recreational flows. In May, 2015 the <a href=""http://www.usbr.gov/lc/region/programs/crbstudy/MovingForward/Phase1Report.html"" target=""_blank""><strong>Phase 1 Report</strong></a> was published, which documents the activities and outcomes of the workgroups during this phase and includes opportunities for potential future action."
credits7	"Begun in late 2013, the Colorado River Basin Ten Tribes Partnership Tribal Water Study is a cooperative effort with the Ten Tribes Partnership, whose members hold a significant amount of quantified and unquantified federal reserved water rights to the Colorado River and its tributaries. The study builds on the technical foundation of the Colorado River Basin Study by further assessing water supplies and demands for these tribes and identifies tribal opportunities and challenges associated with the development of tribal water. This study is anticipated to be completed in 2016."
credits8	"In November 2012, the United States and Mexico reached agreement on <a href=""http://www.usbr.gov/lc/region/feature/minute319.html"" target=""_blank"">Minute 319</strong></a> to the 1944 U.S.-Mexico Water Treaty. Minute 319 is a five-year agreement (2013-2017) which provides for a series of joint cooperative actions between the United States and Mexico, including surplus sharing during higher Lake Mead conditions, reduced water deliveries during lower Lake Mead conditions, flexibility with the Intentionally Created Mexican Apportionment mechanism, opportunities for improved and more efficient infrastructure, and water for the environment. In 2014, pursuant to Section III.6.e.i of IBWC Minute No. 319, a <a href=""http://www.ibwc.state.gov/Files/Minutes/Min319_Fact_Sheet.pdf"" target=""_blank"">pulse flow</strong></a> of approximately 105,000 acre-feet was delivered to Mexico from March 23 through May 18 to benefit the riparian ecosystem in the Colorado River Delta. Implementation of the pulse flow also involved a <a href=""http://www.ibwc.gov/EMD/Min319Monitoring.pdf"" target=""_blank"">monitoring</strong></a> component conducted by scientists and experts from the United States and Mexico to determine the environmental benefits of the pulse flow and the overall performance of the pilot project. With the success of the binational implementation of this project, the United States and Mexico hope to develop a new binational agreement in the spirit of continued collaboration to meet future challenges ahead."
credits9	"Bureau of Reclamation System Conservation Pilot Program. <a href=""http://www.usbr.gov/newsroom/newsrelease/detail.cfm?RecordID=48006"" target=""_blank"">October, 8, 2014 press release</a>.</p>"
credits10	2014 Pilot System Conservation Program Agreement
credits11	2014 Memorandum of Understanding for Lower Basin Pilot Drought Response Actions
credits12	Colorado River Basin Moving Forward Activities
credits13	"Minute 319: Interior Secretary Salazar and Reclamation Commissioner Connor Join U.S. and Mexico Delegations for Historic Colorado River Water Agreement Ceremony.<a href=""http://www.usbr.gov/lc/region/feature/minute319.html"" target=""_blank"">November 20, 2012 press release</a>."
stickyNav1	Introduction
stickyNav2	Lifeline
stickyNav3	One river
stickyNav4	Control structures
stickyNav5	Extended drought
stickyNav6	Water supply
stickyNav7	Storage capacity
stickyNav8	Supply & demand
stickyNav9	Declining storage
stickyNav10	Shortage
stickyNav11	Era of hope
usageFigYlabDesktop	Volume
usageFigYlabMobile	Basin-wide Volume
usageFigXlab	Year
usageFigMetricUnits	billion cubic meters
usageFigImperialUnits	million acre-feet
usageFigUseMobile	Consumptive Use
usageFigUseDesktop	Annual Basin-wide Consumptive Use
usageFigSupplyMobile	Water Supply
usageFigSupplyDesktop	Annual Basin-wide Water Supply
projFigYlab	Elevation of Lake Mead
projFigXlab	Year
projFigImperialUnits	feet
projFigMetricUnits	meters
projFigElevLegend	Elevation
projFigHistorical	Historical
projFigProjected	Projected
projFigFloodDesktop1	Flood Control
projFigFloodDesktop2	Conditions
projFigSurplusDesktop	Surplus Conditions
projFigNormalDesktop	Normal Conditions
projFigShortageDesktop	Shortage Conditions
projFigFloodMobile	Flood Control
projFigSurplusMobile	Surplus
projFigNormalMobile	Normal
projFigShortageMobile	Shortage
